Learner 1,counter
0.1221140371428493,0
0.0188393586815675,0
0.0183009286966456,0
0.0168554571555323,0
0.0112143155168309,0
0.0086759871284832,0
0.0079743349162716,0
0.0063187660113707,0
0.0062216635242152,0
0.0059559883562408,0
0.0058810458028587,0
0.0055868964183753,0
0.0046330616893875,0
0.004521095469562,0
0.0043436932382683,0
0.0041867516262038,0
0.0041182260042933,0
0.0039721553008922,0
0.0029484498324048,0
0.0027699051317379,0
0.0025034783764238,0
0.0023058694173136,0
0.0022460598117714,0
0.0022396096905445,0
0.002027171561052,0
0.0020193244556202,0
0.0013155431894253,0
0.0013038123795225,0
0.0012767783985279,0
0.0012019571394484,0
0.001045682581741,0
0.0008867046858104,0
0.0008424256546254,0
0.0006146153703492,0
0.000571016956812,0
0.0003529622176583,0
0.0003482803677553,0
0.000339125095661,0
0.000315031166525,0
0.0002969832260755,0
0.0002462647933306,0
0.0001988781142042,0
-1.4450575464031168e-05,1
-1.9766770950879752e-05,1
-3.248663447834588e-05,1
-5.336433624809622e-05,1
-5.889867477235633e-05,1
-0.0001499903692803,1
-0.0002023988686628,1
-0.0002668279074726,1
-0.0002715524227299,1
-0.0003354753163699,1
-0.000365246050573,1
-0.0004635991788106,1
-0.000490322433201,1
-0.0005139977281017,1
-0.0006048056851697,1
-0.0006497701930155,1
-0.0006871464105522,1
-0.000766369245114,1
-0.0008925058093493,1
-0.0009020309859828,1
-0.0010809621180171,1
-0.0011692309009365,1
-0.0012001252969499,1
-0.0013380761376655,1
-0.0015567669541979,1
-0.0015777582998427,1
-0.001716636503254,1
-0.0017676992225982,1
-0.0017723329857349,1
-0.0018086256285971,1
-0.0019417492059379,1
-0.0022204814173321,1
-0.0025712477033656,1
-0.0028961886908779,1
-0.0038229529005932,1
-0.005071752760336,1
